source_q,target_q,edge_type,weight
adaptive-hard-ai-1,ai-16,same-topic,0.14
adaptive-hard-la-1,la-44,same-topic,0.111
adaptive-hard-la-1,mock6-q37,same-topic,0.1
adaptive-hard-ml-1,ml-27,same-topic,0.138
adaptive-hard-ml-1,mock4-q43,same-topic,0.125
adaptive-mix-hard-1,ps-65,same-topic,0.129
adaptive-mix-hard-2,co-60,same-topic,0.129
adaptive-mix-hard-3,mock3-q54,same-topic,0.116
ai-1,ai-26,same-topic,0.124
ai-1,mock2-q49,same-topic,0.103
ai-10,ai-11,same-topic,0.1
ai-10,ai-9,same-topic,0.106
ai-10,co-24,cross-domain,0.733
ai-10,dbms-10,cross-domain,0.558
ai-10,ps-40,cross-domain,0.79
ai-11,ai-10,same-topic,0.132
ai-11,ai-14,same-topic,0.11
ai-12,ai-22,same-topic,0.119
ai-12,mock2-q36,same-topic,0.127
ai-13,ai-15,same-topic,0.092
ai-13,ai-18,same-topic,0.139
ai-14,ai-11,same-topic,0.119
ai-14,ai-21,same-topic,0.094
ai-15,ai-13,same-topic,0.125
ai-15,ai-17,same-topic,0.114
ai-15,dbms-6,cross-domain,0.727
ai-15,ml-45,cross-domain,0.785
ai-15,mock2-q50,cross-domain,0.728
ai-15,mock6-q18,cross-domain,0.802
ai-15,mock6-q30,cross-domain,0.824
ai-15,mock6-q6,cross-domain,0.79
ai-15,ps-43,cross-domain,0.662
ai-16,adaptive-hard-ai-1,same-topic,0.098
ai-16,ai-24,same-topic,0.143
ai-17,ai-15,same-topic,0.127
ai-17,ai-19,same-topic,0.085
ai-17,la-15,cross-domain,0.498
ai-17,mock3-q2,cross-domain,0.76
ai-17,mock3-q32,cross-domain,0.679
ai-17,mock7-q54,cross-domain,0.778
ai-18,ai-13,same-topic,0.121
ai-18,ai-6,same-topic,0.107
ai-19,ai-17,same-topic,0.103
ai-19,ai-20,same-topic,0.1
ai-2,ai-27,prerequisite,0.539
ai-2,ai-4,same-topic,0.107
ai-2,ai-7,same-topic,0.137
ai-20,ai-19,same-topic,0.105
ai-20,ai-24,same-topic,0.105
ai-21,ai-14,same-topic,0.125
ai-21,ai-23,same-topic,0.094
ai-22,ai-12,same-topic,0.129
ai-22,ai-9,same-topic,0.104
ai-23,ai-21,same-topic,0.115
ai-23,ai-25,same-topic,0.104
ai-24,ai-16,same-topic,0.094
ai-24,ai-20,same-topic,0.101
ai-25,ai-23,same-topic,0.12
ai-25,ai-26,same-topic,0.1
ai-26,ai-1,same-topic,0.099
ai-26,ai-25,same-topic,0.104
ai-27,ai-30,same-topic,0.148
ai-27,ai-34,same-topic,0.085
ai-27,ai-5,prerequisite,0.224
ai-28,ai-29,same-topic,0.103
ai-28,ai-35,same-topic,0.12
ai-28,ai-36,prerequisite,0.341
ai-29,ai-28,same-topic,0.139
ai-29,ai-33,same-topic,0.102
ai-29,ai-37,prerequisite,0.31
ai-3,ai-38,same-topic,0.107
ai-3,ai-46,same-topic,0.106
ai-30,ai-27,same-topic,0.115
ai-30,ai-45,prerequisite,0.293
ai-31,ai-32,same-topic,0.119
ai-31,ai-5,same-topic,0.119
ai-32,ai-31,same-topic,0.106
ai-32,ai-36,same-topic,0.091
ai-33,ai-29,same-topic,0.132
ai-33,ai-39,prerequisite,0.244
ai-33,ai-40,same-topic,0.103
ai-34,ai-27,same-topic,0.114
ai-34,ai-31,prerequisite,0.401
ai-34,ai-35,same-topic,0.114
ai-35,ai-28,same-topic,0.119
ai-35,ai-32,prerequisite,0.257
ai-35,ai-34,same-topic,0.128
ai-36,ai-32,same-topic,0.108
